country_name,total_articles,avg_comments,max_comments
Russia,8,59.0,112.0
Sweden,5,145.8,318.0
Turkey,2,50.5,69.0
Europe,16,47.8125,104.0
France,1,77.0,77.0
Finland,2,109.5,121.0
China,3,76.66666666666667,95.0
United States,2,70.5,89.0
Malta,87,35.64367816091954,124.0
Other,25,113.0,580.0
Lithuania,1,31.0,31.0
Spain,3,27.666666666666668,43.0
North America,1,47.0,47.0
Denmark,8,69.25,139.0
Ireland,1,76.0,76.0
Israel,3,49.666666666666664,123.0
Uruguay,1,66.0,66.0
Estonia,1,139.0,139.0
Mongolia,2,112.5,132.0
Canada,2,79.5,96.0
Czech Republic,1,130.0,130.0
Brazil,5,86.4,187.0
Poland,4,111.25,288.0
Australia,1,62.0,62.0
Romania,3,105.0,217.0
Kazakhstan,2,140.0,151.0
Serbia,1,82.0,82.0
Hungary,1,53.0,53.0
United Kingdom,1,18.0,18.0
Netherlands,1,37.0,37.0
